company,company_code
Yanbu Nat Petroch,code_131
Fitaihi Holding Grou,code_62
Al Jouf Agric De,code_113
Anaam Intl Holding Grou,code_124
Aldrees Ptl   Tran Svs,code_95
Ash Sharqiyah Dev Co,code_66
Bishah Agriculture Dev  Susp   02 09 1,code_107
Al Gassim Investment Holdin,code_108
Jazan Developmen,code_99
Jarir Marketin,code_1610
The Company For Coop In,code_811
National Agric Dev,code_1212
National Agric Marketin,code_1113
Saudi Automotive Svs,code_514
Saudi Real Estat,code_615
Tabuk Agric Dev,code_1116
Tourism Enterpris,code_1117
Bahr,code_1118
Al Baha Inv   Dev  Susp   02 09 1,code_1119
Arriyadh Developmen,code_1220
Aseer Trdg Tsm   Mnfg,code_821
Saudi Fisherie,code_1322
Dur Hospitalit,code_923
Saudi Indl Expor,code_924
Saudi Tran And Inv,code_1425
Saudi Public Transpor,code_726
Taiba Holdin,code_1227
Tihama Advr Pubr    Mktg,code_928
Makkah Con   Dev,code_1429
Etihad Etisalat Co,code_1230
The Saudi British Bk,code_1031
Al Rajhi Ban,code_932
Arab National Ban,code_1133
Bank Albila,code_734
Bank Aljazir,code_135
Banque Saudi Frans,code_736
Riyad Ban,code_1237
Samba Financial Grou,code_1038
Alawwal Ban,code_939
The Saudi Investment Bk,code_940
Saudi Teleco,code_1041
Southern Province Cemen,code_942
Al Ahsa Developmen,code_1743
Saudi Arabia Frtz,code_1444
Saudi Arabia Refs,code_1445
Saudi Basic Industrie,code_1246
Saudi Cabl,code_247
Saudi Cemen,code_1048
Saudi Chemica,code_1149
Saudi Electricit,code_950
Saudi Industrial Dev,code_1151
Saudi Industrial Inv,code_852
Saudi Indl Service,code_1453
Saudi Pharm Inds   Mlp,code_654
Saudia Dairy   Fdsf,code_1155
Savola Grou,code_1356
Tabuk Cemen,code_1457
Yamamah Saudi Cemen,code_1058
Yanbu Cemen,code_1259
The Naco For Glss Inds,code_1460
National Gas   Indzt,code_761
National Gypsu,code_1262
Saudi Cerami,code_1163
Zamil Industria,code_1064
National Indzt,code_1065
National Metal Mnfg And Castin,code_966
The Qassim Cemen,code_1267
Sahara Petrochemica,code_1368
Saudi Advanced Inds,code_1669
Saudi Arbn Amianti,code_770
Almara,code_1071
Alujain Corporatio,code_872
Arabian Cemen,code_1073
Arabian Pipe,code_1174
Eastern Province Cemen,code_875
Filing   Pckg Mats Mnfg,code_976
Wafra,code_477
Nama Chemical,code_778
Saudi Resh   Mktg Gp,code_879
Saudi Paper Mnfg,code_1280
Emaar The Economic Cit,code_1581
Fawaz Abdulaziz Alhokai,code_882
Saudi Intl Petrochemica,code_683
Al Babtain Pwr   Telecm,code_1484
Al Abdullatif Indl Inv,code_585
Red Sea Internationa,code_1086
Advanced Petrochemical,code_987
Malath Cooperative Insuranc,code_1088
The Medit   Gulf In R,code_1189
Saudi Utd Coop Insuranc,code_1390
Arabian Shield Coop In,code_691
Allianz Sdi Frnasi Coin,code_892
Sanad Cooperative In,code_1193
Saudi Arabian Coop In,code_1494
Wafa Insuranc,code_1195
Alahli Takafu,code_896
Allied Coop In Grou,code_1497
Jabal Omar Developmen,code_398
Saudi Vitrified Clay Pip,code_1299
Saudi Cooperative Iaic Insuranc,code_10100
Saudi Kayan Petroch,code_10101
Saudi Print   Packagin,code_11102
Kingdom Holdin,code_10103
United Intl Trsp,code_7104
Gulf Un Coop Insuranc,code_12105
Al Ahlia Co For Coin,code_5106
Middle East Spz Cable,code_3107
Alkhaleej Trn   Ed,code_13108
Dar Alarkan Rlst Dev,code_17109
Rabigh Refn   Petroch,code_17110
Trade Union Coop In,code_14111
Arabia Insurance Coop,code_6112
Al Sagr Copt In,code_8113
Saudi Mobile Telecom,code_12114
Mohammad Al Mojil Group Susp   Susp 23 03 1,code_1115
Bupa Arabia For Coop In,code_11116
Saudi Reinsuranc,code_14117
Alinma Ban,code_12118
Basic Chemical Inds,code_8119
